Channel              :,CH1
Frequency            :,256.2kHz
Period               :,3.902us
PK-PK                :,3.760V
Probe attenuation    :,1X
Voltage per ADC value:,5.000000mV
Time interval        :,0.04000us

index,CH1_Voltage(mV)
1,3200.000000
2,3200.000000
3,3200.000000
4,3200.000000
5,3200.000000
6,3200.000000
7,3200.000000
8,3200.000000
9,3200.000000
10,3200.000000
11,3200.000000
12,3200.000000
13,3200.000000
14,3200.000000
15,3200.000000
16,3200.000000
17,3200.000000
18,3200.000000
19,3200.000000
20,3200.000000
21,3200.000000
22,3200.000000
23,3200.000000
24,3200.000000
25,3200.000000
26,3200.000000
27,3200.000000
28,3200.000000
29,3200.000000
30,3200.000000
31,3200.000000
32,3200.000000
33,3200.000000
34,3200.000000
35,3200.000000
36,3200.000000
37,3200.000000
38,3200.000000
39,3200.000000
40,3200.000000
41,3200.000000
42,3200.000000
43,3200.000000
44,3200.000000
45,3200.000000
46,3200.000000
47,3280.000000
48,3200.000000
49,3200.000000
50,3200.000000
51,3200.000000
52,3200.000000
53,3200.000000
54,3200.000000
55,3200.000000
56,3200.000000
57,3200.000000
58,3200.000000
59,3200.000000
60,3200.000000
61,3200.000000
62,3200.000000
63,3200.000000
64,3200.000000
65,3200.000000
66,3200.000000
67,3200.000000
68,3200.000000
69,3200.000000
70,3200.000000
71,3200.000000
72,3200.000000
73,3200.000000
74,3200.000000
75,3200.000000
76,3200.000000
77,3200.000000
78,3200.000000
79,3200.000000
80,3200.000000
81,3200.000000
82,3200.000000
83,3200.000000
84,3200.000000
85,3200.000000
86,3200.000000
87,3200.000000
88,3200.000000
89,3200.000000
90,3200.000000
91,3200.000000
92,3200.000000
93,3200.000000
94,3200.000000
95,3200.000000
96,3200.000000
97,3200.000000
98,3200.000000
99,3200.000000
100,3200.000000
101,3200.000000
102,3200.000000
103,3200.000000
104,3200.000000
105,3200.000000
106,3200.000000
107,3200.000000
108,3200.000000
109,3200.000000
110,3200.000000
111,3200.000000
112,3280.000000
113,3200.000000
114,3200.000000
115,3200.000000
116,3200.000000
117,3200.000000
118,3200.000000
119,3200.000000
120,3200.000000
121,3200.000000
122,3200.000000
123,3200.000000
124,3200.000000
125,3200.000000
126,3200.000000
127,3200.000000
128,3200.000000
129,3200.000000
130,3200.000000
131,3200.000000
132,3200.000000
133,3200.000000
134,3200.000000
135,3200.000000
136,3200.000000
137,3200.000000
138,3200.000000
139,3200.000000
140,3200.000000
141,3200.000000
142,3200.000000
143,3200.000000
144,3200.000000
145,3200.000000
146,3200.000000
147,3200.000000
